,name,length,absolute_curvature_max,v_long_max,v_long_min,time_to_complete
1,left_turn_dominant_egg,15.75622828029786,1.082245406543413,1.199999957807578,0.3,34.01844116703001
2,left_turn_dominant_egg_slow,15.75622828029786,1.082245406543413,0.599999978903789,0.10000000000320095,78.88178498058518
3,left_turn_dominant_egg_fast,15.75622828029786,1.082245406543413,1.7999999601516015,0.95,13.397841687744773
4,left_turn_dominant_ditched_ellipsoid,28.483855541759663,1.339466054010312,0.7399996563595781,0.10000000823010247,116.09917892251414
5,left_turn_dominant_circle,6.195471848994916,1.3333333333333333,1.3999999939988,0.8,5.295635731323732
6,right_balanced_figure_8,20.007834871851408,1.0460747839847766,0.4299999785103413,0.15000003750124935,78.30613813447908
7,left_turn_dominant_potato,23.84613233418824,1.380174709058171,0.4,0.1,121.13402282258109
8,right_turn_dominant_potato,19.910933345817266,1.2912755068224497,0.9599998447659343,0.3,51.53219554910584
9,right_unbalanced_figure_eight,40.27840207093606,1.1598613738971846,0.5999999976359273,0.10000011265664548,141.97237205256232
10,right_turn_dominant_ditched_circle,26.78367435176162,1.0340838369392422,0.4,0.2000000101260125,90.25261246885812
11,right_turn_dominant_circle,9.293207773492373,0.8888888888888888,1.3999999998683357,0.6,9.109880753817572
12,right_turn_dominant_ditched_circle_large,45.499171084318704,1.0706424344813081,2.0,0.5000000145801912,54.34312036779924
